Species,Number,Site,date collected,complete increments,O/T,Age,D1 (mm) (to edge),D2 (mm),D3 (mm),otolith measurement check & comments,initial oto reader (initials),checker (initials),SL (mm),FL (mm),TL (mm),whole Body mass (g),gonad mass (g),somatic mass (g),Predicted TL 2022,Predicted TL 2021,Predicted Somatic Mass (g) 2022,Predicted Somatic Mass (g) 2021,Predicted growth 2021-2022 (g)
OXCA,2022-OXCA-BK-108,BK,8/17/22,3,O,3,1.572,1.479,1.269,"yes, MAS altered",AV,,179,.,213,86.9,3.04,83.9,196,175,64.7,44.9,19.8
OXCA,2022-OXCA-BK-109,BK,8/17/22,3,O,3,1.395,1.362,1.286,"yes, MAS",AV,,165,.,197,54.5,2.52,52,184,177,53.1,46.3,6.7
OXCA,2022-OXCA-BK-110,BK,8/17/22,4,O,4,1.782,1.74,1.629,"yes, MAS altered",AV,,184,.,218,93.4,3.62,89.8,223,212,96.6,81.9,14.6
OXCA,2022-OXCA-BK-111,BK,8/17/22,3,O,3,1.488,1.464,1.414,"yes, MAS altered",AV,,164,.,195,63.2,3.66,59.5,195,190,63.1,58,5.1
OXCA,2022-OXCA-BK-112,BK,8/17/22,5,O,5,1.755,1.716,1.633,"yes, MAS altered",AV,,185,.,222,100.6,4.93,95.7,221,212,93.3,82.4,10.8
OXCA,2022-OXCA-BK-113,BK,8/17/22,3,O,3,1.673,1.619,1.53,"yes, MAS altered",AV,,179,.,212,89.3,6.01,83.3,211,202,80.7,70.2,10.5
OXCA,2022-OXCA-BK-114,BK,8/17/22,0,T,1,0.858,0.858,0,"yes, MAS",AV,,89,.,109,10.1,0.24,9.9,133,0,18.9,0,18.9
OXCA,2022-OXCA-BK-115,BK,8/17/22,1,T,2,1.226,1.226,1.116,"yes, MAS",AV,,144,.,171,40,2.85,37.2,170,159,41.4,33.4,8
OXCA,2022-OXCA-BK-116,BK,8/17/22,2,T,3,1.551,1.551,1.482,"yes, MAS",AV,,162,.,192,63.9,2.4,61.5,204,197,72.6,65,7.6
OXCA,2022-OXCA-BK-117,BK,8/17/22,0,T,1,0.849,0.849,0,"yes, MAS",AV,,114,.,134,17.5,0.56,16.9,132,0,18.5,0,18.5
OXCA,2022-OXCA-BK-118,BK,8/17/22,3,O,3,1.382,1.344,1.257,"yes, MAS",AV,,165,.,194,70.1,5.94,64.2,183,174,51.4,43.9,7.5
OXCA,2022-OXCA-BK-119,BK,8/17/22,6,O,6,1.53,1.463,1.392,"yes, MAS altered",AV,,171,.,204,81.3,6.4,74.9,195,187,63,55.9,7.1
OXCA,2022-OXCA-BK-120,BK,8/17/22,3,T,4,1.675,1.675,1.59,"yes, MAS",AV,,176,.,206,74.5,4.8,69.7,216,208,87.8,77.2,10.6
OXCA,2022-OXCA-BK-121,BK,8/17/22,4,O,4,1.537,1.518,1.452,"yes, MAS",AV,,184,.,218,87.6,6.41,81.2,200,194,68.9,61.8,7
OXCA,2022-OXCA-BK-122,BK,8/17/22,5,O,5,1.8,1.793,1.682,"yes, MAS",AV,,190,.,226,90.3,6.79,83.5,229,217,104.2,88.7,15.4
OXCA,2022-OXCA-BK-123,BK,8/17/22,5,O,5,1.789,1.697,1.644,"yes, MAS",AV,,205,.,240,133.4,9.33,124.1,219,213,90.7,83.8,6.9
OXCA,2022-OXCA-BK-124,BK,8/17/22,4,T,5,1.64,1.64,1.555,"yes, MAS",AV,,197,.,227,124.3,8.23,116.1,213,204,83.3,73.1,10.2
OXCA,2022-OXCA-BK-125,BK,8/17/22,3,T,4,1.509,1.509,1.4,"yes, MAS",AV,,165,.,197,71.2,5.31,65.9,199,188,67.9,56.7,11.2
OXCA,2022-OXCA-BK-126,BK,8/17/22,4,T,5,1.676,1.676,1.608,"yes, MAS altered",AV,,181,.,210,81.6,5.84,75.8,217,210,87.9,79.4,8.6
OXCA,2022-OXCA-BK-127,BK,8/17/22,4,T,5,1.846,1.846,1.718,"yes, MAS altered",AV,,182,.,215,98.1,5.1,93,234,221,112.1,93.5,18.6
OXCA,2022-OXCA-BK-128,BK,8/17/22,,,,,,,"don't use, otolith doesn't seem to match the fish length",AV,,95,.,115,10.7,0.49,10.2,,0,,,
OXCA,2022-OXCA-BK-129,BK,8/17/22,4,T,5,1.677,1.677,1.607,"yes, MAS",AV,,181,.,213,83.1,4.98,78.1,217,210,88.1,79.2,8.8
OXCA,2022-OXCA-BK-130,BK,8/17/22,,,,,,,,AV,,169,.,203,82,6.07,75.9,,0,,,
OXCA,2022-OXCA-BK-131,BK,8/17/22,,,,,,,,AV,,169,.,200,68.6,4.08,64.5,,0,,,
OXCA,2022-OXCA-BK-132,BK,8/17/22,,,,,,,,AV,,187,.,221,97,5.75,91.3,,0,,,
OXCA,2022-OXCA-BK-133,BK,8/17/22,,,,,,,,AV,,174,.,206,82.7,4.75,78,,0,,,
OXCA,2022-OXCA-BK-134,BK,8/17/22,,,,,,,,AV,,192,.,227,101.5,4.07,97.4,,0,,,
OXCA,2022-OXCA-BK-135,BK,8/17/22,,,,,,,,AV,,188,.,220,94.5,5.25,89.3,,0,,,
OXCA,2022-OXCA-BK-136,BK,8/17/22,,,,,,,,AV,,189,.,223,102.9,6.65,96.3,,0,,,
OXCA,2022-OXCA-BK-137,BK,8/17/22,,,,,,,,AV,,97,.,116,13.3,0.43,12.9,,0,,,
