Species,Number,Site,date collected,complete increments,O/T,Age,D1 (mm) (to edge),D2 (mm),D3 (mm),otolith measurement check & comments,initial oto reader (initials),checker (initials),SL (mm),FL (mm),TL (mm),whole Body mass (g),gonad mass (g),somatic mass (g),Predicted TL 2022,Predicted TL 2021,Predicted Somatic Mass (g) 2022,Predicted Somatic Mass (g) 2021,Predicted growth 2021-2022 (g),,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-085,BK,8/3/22,3,T,4,4.888,4.888,4.335,"yes, MAS",KR,MAS,244,305,319,409.1,9.60,399.5,304,267,338.2,225.7,112.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-086,BK,8/3/22,8,T,9,5.302,5.302,5.004,"yes, MAS altered",KR,MAS,265,315,330,408.7,16.92,391.8,332,312,443.7,365.8,77.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-087,BK,8/3/22,5,O,5,4.879,4.718,4.313,"yes, MAS altered",KR,MAS,212,259,269,255.3,8.00,247.3,293,265,300.3,221.8,78.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-088,BK,8/3/22,8,T,9,5.625,5.625,5.439,"yes, MAS altered",KR,MAS,265,320,333,449.1,13.72,435.4,353,341,540.0,483.0,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-089,BK,8/3/22,5,T,6,4.570,4.570,4.067,"yes, MAS",KR,MAS,239,289,302,353.0,9.20,343.8,283,249,269.7,181.7,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-090,BK,8/3/22,6,T,7,5.109,5.109,4.986,"yes, MAS altered",KR,MAS,252,305,316,398.7,7.14,391.6,319,311,392.1,361.4,30.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-091,BK,8/3/22,4,T,5,4.916,4.916,4.350,"yes, MAS altered",KR,MAS,244,292,305,337.3,10.46,326.8,306,268,344.7,228.4,116.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-092,BK,8/3/22,6,T,7,5.647,5.647,5.350,"yes, MAS altered",KR,MAS,285,341,359,612.3,19.19,593.1,355,335,547.1,457.2,89.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-093,BK,8/3/22,6,T,7,4.890,4.890,4.298,"yes, MAS altered",KR,MAS,280,335,349,565.2,21.15,544.1,304,264,338.6,219.2,119.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-094,BK,8/3/22,6,T,7,5.605,5.605,5.385,"yes, MAS altered",KR,MAS,270,325,340,552.4,23.24,529.2,352,337,533.7,467.2,66.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-095,BK,8/3/22,5,T,6,5.391,5.391,5.015,"yes, MAS altered",KR,MAS,251,302,314,407.5,16.53,391.0,338,313,469.0,368.5,100.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-096,BK,8/3/22,5,T,6,5.025,5.025,4.861,"yes, MAS altered",KR,MAS,260,314,323,450.1,12.20,437.9,313,302,370.9,331.9,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-097,BK,8/3/22,5,T,6,5.325,5.325,5.040,"yes, MAS altered",KR,MAS,261,319,334,456.3,14.71,441.6,333,314,450.1,374.7,75.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-098,BK,8/3/22,6,T,7,5.370,5.370,5.065,"yes, MAS altered",KR,MAS,261,317,334,416.1,11.35,404.8,336,316,462.9,380.9,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-099,BK,8/3/22,,,,,,,,KR,MAS,241,291,304,360.4,11.67,348.7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-100,BK,8/3/22,,,,,,,,KR,MAS,249,301,314,391.4,11.04,380.4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-101,BK,8/3/22,,,,,,,,KR,MAS,253,304,320,406.7,10.79,395.9,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-102,BK,8/3/22,,,,,,,,KR,MAS,294,352,379,591.3,15.84,575.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-103,BK,8/3/22,,,,,,,,KR,MAS,281,334,348,523.6,23.14,500.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-104,BK,8/3/22,,,,,,,,KR,MAS,233,285,293,345.3,6.92,338.4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-105,BK,8/10/22,3,T,4,4.510,4.510,4.069,"yes, MAS altered",KR,MAS,211,258,263,212.8,6.54,206.3,279,249,258.0,182.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-106,BK,8/10/22,3,T,4,4.573,4.573,4.217,"yes, MAS altered",KR,MAS,203,244,257,207.3,7.87,199.4,283,259,270.3,205.5,64.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-107,BK,8/10/22,7,T,8,4.770,4.770,4.547,"yes, MAS altered",KR,MAS,239,284,296,320.4,15.61,304.8,296,281,311.5,265.2,46.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACL,2022-PACL-BK-108,BK,8/10/22,3,T,4,4.120,4.120,3.934,"yes, MAS altered",KR,MAS,201,244,253,199.4,9.17,190.2,252,240,189.9,162.3,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
